# Data from Ladson, Hill, & Johnson, NASA TM 100526, 1987.
# M=0.3
# Note: may not be sufficiently 2D, because aspect ratio of model only 1.333
variables="x/c","cp"
zone, t="Re=6 million, alpha=.0169, free transition"
.9483   .1008
.9000   .0279
.8503  -.0038
.7998  -.0378
.7497  -.0731
.7003  -.1027
.6502  -.1428
.5997  -.1585
.5506  -.1887
.5000  -.2152
.4503  -.2371
.4000  -.2716
.3507  -.2958
.3002  -.3257
.2501  -.3550
.2004  -.3854
.1504  -.3986
.1000  -.3949
.0755  -.3815
.0510  -.3522
.0251  -.2208
.0122   .0070
0.     1.0184
.0135   .0407
.0271  -.1745
.0515  -.2864
.0763  -.3605
.1012  -.3644
.1503  -.3592
.1994  -.3618
.2501  -.3346
.2999  -.3139
.3499  -.2805
.3994  -.2606
.4496  -.2300
.4997  -.2065
.5492  -.1737
.5994  -.1494
.6495  -.1278
.6996  -.0967
.7489  -.0698
.8003  -.0371
.8500   .0011
.8993   .0477
.9489   .0973
