zone, t="Re=3 million, alpha=10.0130, fixed transition"
.9483   .1335
.9000   .1026
.8503   .1037
.7998   .1057
.7497   .1031
.7003   .1056
.6502   .0920
.5997   .1147
.5506   .1132
.5000   .1261
.4503   .1424
.4000   .1597
.3507   .1786
.3002   .2145
.2501   .2537
.2004   .3154
.1504   .4047
.1000   .5591
.0755   .6593
.0510   .8124
.0251  1.0204
.0122  1.0505
0.    -2.3905
.0135 -3.8320
.0271 -2.8263
.0515 -2.3446
.0763 -1.9334
.1012 -1.6899
.1503 -1.3465
.1994 -1.1389
.2501  -.9749
.2999  -.8345
.3499  -.7279
.3994  -.6274
.4496  -.5438
.4997  -.4624
.5492  -.3950
.5994  -.3236
.6495  -.2723
.6996  -.2003
.7489  -.1446
.8003  -.0766
.8500  -.0176
.8993   .0468
.9489   .1108

