NACA 0023 Airfoil M=0.0% P=0.0% T=23.0%
  1.000000 -0.000000
  0.997867  0.000593
  0.991487  0.002359
  0.980913  0.005252
  0.966236  0.009205
  0.947582  0.014123
  0.925109  0.019898
  0.899009  0.026407
  0.869504  0.033518
  0.836848  0.041096
  0.801317  0.049001
  0.763216  0.057094
  0.722869  0.065232
  0.680621  0.073270
  0.636831  0.081057
  0.591875  0.088437
  0.546134  0.095247
  0.500000  0.101318
  0.453866  0.106478
  0.408125  0.110558
  0.363169  0.113396
  0.319379  0.114847
  0.277131  0.114788
  0.236784  0.113130
  0.198683  0.109819
  0.163152  0.104845
  0.130496  0.098238
  0.100991  0.090072
  0.074891  0.080452
  0.052418  0.069512
  0.033764  0.057398
  0.019087  0.044261
  0.008513  0.030241
  0.002133  0.015458
  0.000000  0.000000
  0.002133 -0.015458
  0.008513 -0.030241
  0.019087 -0.044261
  0.033764 -0.057398
  0.052418 -0.069512
  0.074891 -0.080452
  0.100991 -0.090072
  0.130496 -0.098238
  0.163152 -0.104845
  0.198683 -0.109819
  0.236784 -0.113130
  0.277131 -0.114788
  0.319379 -0.114847
  0.363169 -0.113396
  0.408125 -0.110558
  0.453866 -0.106478
  0.500000 -0.101318
  0.546134 -0.095247
  0.591875 -0.088437
  0.636831 -0.081057
  0.680621 -0.073270
  0.722869 -0.065232
  0.763216 -0.057094
  0.801317 -0.049001
  0.836848 -0.041096
  0.869504 -0.033518
  0.899009 -0.026407
  0.925109 -0.019898
  0.947582 -0.014123
  0.966236 -0.009205
  0.980913 -0.005252
  0.991487 -0.002359
  0.997867 -0.000593
  1.000000  0.000000
