Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 2; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	0.649	0.02400	-0.640	1.005	1.248	1.267	1.249	27.029	0.348	1.236
-15.0	0.791	0.02503	-0.654	1.006	1.248	1.267	1.249	31.616	0.346	1.076
-14.0	0.937	0.02486	-0.667	1.006	1.248	1.267	1.249	37.703	0.344	0.962
-13.0	1.084	0.02353	-0.681	1.006	1.248	1.267	1.249	46.071	0.341	0.878
-12.0	1.233	0.02359	-0.694	1.006	1.248	1.267	1.249	52.264	0.340	0.813
-11.0	1.376	0.02232	-0.707	1.006	1.248	1.267	1.249	61.640	0.340	0.764
-10.0	1.518	0.02239	-0.720	1.006	1.248	1.267	1.249	67.819	0.339	0.724
-9.0	1.661	0.02262	-0.733	1.006	1.248	1.267	1.249	73.412	0.342	0.691
-8.0	1.803	0.02244	-0.746	1.006	1.248	1.267	1.249	80.330	0.343	0.664
-7.0	1.934	0.02187	-0.758	1.006	1.248	1.267	1.249	88.427	0.334	0.642
-6.0	2.065	0.02369	-0.768	1.006	1.248	1.267	1.249	87.182	0.331	0.622
-5.0	2.196	0.02470	-0.779	1.006	1.248	1.267	1.249	88.899	0.334	0.605
-4.0	2.320	0.02585	-0.790	1.006	1.248	1.267	1.249	89.764	0.337	0.590
-3.0	2.434	0.02710	-0.800	1.006	1.248	1.267	1.249	89.824	0.343	0.579
-2.0	2.533	0.02876	-0.810	1.006	1.248	1.267	1.249	88.080	0.353	0.570
-1.0	2.618	0.03052	-0.819	1.006	1.248	1.267	1.249	85.791	0.369	0.563
-0.0	2.686	0.03268	-0.828	1.008	1.248	1.267	1.249	82.171	0.315	0.558
1.0	2.883	0.03269	-0.836	1.008	1.248	1.267	1.249	88.170	0.322	0.540
2.0	2.913	0.03524	-0.844	1.008	1.248	1.267	1.249	82.644	0.650	0.540
3.0	2.921	0.04278	-0.852	1.008	1.248	1.267	1.249	68.285	-2.517	0.542
4.0	2.908	0.04274	-0.859	1.008	1.248	1.267	1.249	68.023	-0.038	0.545
5.0	2.874	0.04687	-0.865	1.008	1.248	1.267	1.249	61.315	0.445	0.551
6.0	2.477	0.07312	-0.775	1.008	1.248	1.267	1.249	33.884	0.476	0.563
7.0	2.333	0.08882	-0.743	1.008	1.248	1.267	1.249	26.262	0.418	0.569
8.0	2.203	0.10447	-0.728	1.008	1.248	1.267	1.249	21.086	0.329	0.581
9.0	2.078	0.12130	-0.723	1.009	1.248	1.267	1.249	17.131	0.293	0.598
10.0	1.952	0.13903	-0.718	1.009	1.248	1.267	1.249	14.041	0.290	0.618
11.0	1.826	0.15605	-0.713	1.009	1.248	1.229	1.249	11.703	0.285	0.640
12.0	1.707	0.18378	-0.709	1.009	1.248	1.228	1.249	9.290	0.286	0.665
13.0	1.594	0.20936	-0.705	1.009	1.248	1.222	1.249	7.615	0.291	0.692
14.0	1.488	0.22983	-0.700	1.009	1.248	1.219	1.249	6.476	0.289	0.720
15.0	1.391	0.26080	-0.697	1.009	1.248	1.219	1.249	5.332	0.302	0.751
16.0	1.300	0.30050	-0.691	1.012	1.248	1.213	1.249	4.325	0.319	0.781
